English,Hebrew
conspicuous,"בולט לעין, מושך תשומת לב"
conspiracy,"קשר, קנוניה, קונספירציה"
conspire,"לקשור קשר, לתכנן בחשאי"
constant,"תמידי, בלתי פוסק, קבוע"
constituent,מרכיב
constitute,"להרכיב, להוות"
constitution,חוקה
constrain,"לאלץ, להכריח"
constraint,אילוץ; התנהגות מאולצת
construct,"לבנות, להרכיב"
construction,"בנייה; מבנה, בניין"
constructive,"מועיל, בונה, קונסטרוקטיבי"
consult,להתייעץ
consume,לצרוך; לכלות; לאכול
consumer,צרכן
consumption,צריכה
contact,"ליצור קשר; קשר, מגע"
contagious,מידבק
contain,"להכיל, לכלול; לעצור, לרסן, לשלוט על"
container,"מיכל, כלי קיבול; מכולה, קונטיינר"
contaminate,"לזהם, להדביק (במחלה)"
contemplate,"להרהר ב-, לחשוב על, לשקול"
contempt,בוז
contend,"להיאבק, להתחרות; לטעון ש-"
content,תוכן
content,"מרוצה, שבע-רצון"
contention,"ריב, מחלוקת; טענה"
contents,"תוכן, תכולה"
contest,"תחרות, מאבק; להתחרות, להתמודד; לחלוק על, לערער"
context,"הקשר, קונטקסט"
continent,יבשת
continuation,"המשך, הארכה"
continue,להמשיך
continuity,"המשכיות, רצף"
continuous,"מתמשך, רציף"
contract,"הסכם, חוזה; לעשות חוזה"
contradict,לסתור
contradiction,סתירה
contrary,"מנוגד ל-, בניגוד ל-"
contrast,"ניגוד, קונטרסט"
contrast,"לעמת, להשוות הפועל contrast פירושו ""להשוות"" רק כשמדוברבהשוואה לשם הדגשת השוני. ובעברית, נכון יותר לומר, במקרהכזה, ""עומד בניגוד ל-""."
contribute,לתרום
contribution,תרומה
contrive,"להמציא, לתכנן (בתחכום)"
control,לשלוט; לפקח; שליטה; פיקוח
controversial,שנוי במחלוקת
controversy,מחלוקת
convene,לכנס; להתכנס
convenience,נוחות
convenient,נוח
convention,ועידה; מוסכמה; אמנה
conventional,"שגרתי, מקובל, קונבנציונאלי"
converge,להתכנס; להתקרב ולהיפגש
conversation,שיחה
converse,לשוחח
conversion,"המרה, החלפה"
convert,"להמיר, להחליף"
convey,"להעביר, למסור"
convict,אסיר
convict,להרשיע
conviction,"הרשעה; שכנוע עצמי, אמונה חזקה"
convince,לשכנע
cool,לקרר; קריר; קר-רוח
cooperate,לשתף פעולה
cooperation,שיתוף פעולה
coordinate,לתאם
coordination,"תיאום, קואורדינציה"
cope,"להתמודד בהצלחה, להתגבר על"
copy,להעתיק; העתק
cordial,לבבי
core,"ליבה, מרכז; עיקר"
corner,פינה
corporation,"חברה, תאגיד"
correct,"נכון, מדויק; לתקן"
correction,תיקון
correlate,להיות תואם
correlation,"קורלציה, מתאם"
correspond,"להתכתב; להתאים, להיות תואם"
correspondence,"התכתבות, תכתובת; התאמה"
correspondent,"כּוֹב (כּוֹב עיתונות, למשל)"
corrosion,"קורוזיה, איכול"
corrupt,מושחת; להשחית
corruption,שחיתות
cost,"עלות, מחיר; לעלות (מבחינת מחיר)"
costume,תחפושת
cough,שיעול; להשתעל
council,מועצה
counsel,"לייעץ; עצה, ייעוץ"
counselor,יועץ
count,"להיחשב, נחשב; לספור"
count on,לסמוך על
counter,"מנוגד ל-; מונה, מד-; דלפק, דוכן"
counteract,"לפעול נגד, לנטרל"
counterfeit,"מזויף; לזייף הערה: בדרך-כלל נוגע לכסף. זיוף של דרכונים,מסמכים, חתימות וכו' נקרא ""forgery""."
counterpart,"עמית; מקביל, דומה"
countless,"עצום, לאין ספור"
country,מדינה; אזור כפרי
couple,זוג
courage,אומץ
courageous,אמיץ
course,"מהלך; מסלול, כיוון; קורס; מנה"
court,"מגרש, חצר; בית משפט"
courtesy,"אדיבות, נימוס"
cousin,בן דוד
cover,לכסות; כיסוי
coward,פחדן
crack,"לסדוק; לפצח; סדק, בקיע"
cradle,עריסה
craft,"אמנות, מלאכה; כלי שיט"
crash,להתרסק; להתנגש; לנפץ; התרסקות; התמוטטות
crawl,לזחול; לנוע באיטיות
creak,לחרוק; חריקה
create,ליצור; לברוא
creation,"יצירה, בריאה"
creative,יצירתי
creature,יצור
credibility,"מהימנות, אמינות"
credible,"מהימן, אמין"
credit,"אשראי, קרדיט"
creep,להתגנב; לזחול
crime,פשע
criminal,פושע; פלילי
crisis,משבר
critic,מבקר
critical,"ביקורתי; גורלי, קריטי"
criticism,ביקורת
criticize,למתוח ביקורת
crooked,"עקום, מכופף"
crop,"לקצץ, לגזוז; יבול, תוצרת"
cross,לחצות; צלב
crossroads,צומת
crowd,"להצטופף; קהל, המון"
crown,כתר
crucial,"חשוב מאד, מכריע"
crude,גס; גולמי
cruel,אכזרי
cruelty,"התאכזרות, אכזריות"
cruise,"שייט, הפלגה; לשייט"
crumb,פירור
crumble,לפורר; להתפורר
crush,"למחוץ, למעוך"
cry,"לבכות, לצעוק"
cultivate,"לעבד, לגדל; לטפח, לפתח"
cultivation,עיבוד; טיפוח
culture,תרבות
cunning,"ערמומי, מחוכם; ערמומיות, פיקחות"
cure,"לרפא; לתקן; ריפוי, תרופה"
curiosity,סקרנות
curious,סקרן
currency,"כסף, מטבע"
current,"נוכחי, שוטף; זרם"
curse,לקלל; קללה
curtail,"להפחית, לקצץ, לקצר, לצמצם"
curtain,"וילון, מסך"
curve,"לעקם; להתעקם; סיבוב, עיקול, עקומה"
custody,"השגחה, משמורת; מעצר"
custom,"מנהג, נוהג"
customary,"נהוג, מקובל"
customer,לקוח
cycle,מחזור
daily,יומיומי
dairy,מחלבה
damage,נזק; לגרום נזק
damp,לח
dampness,לחות
danger,סכנה
dangerous,מסוכן
dare,להעז
daring,תעוזה; נועז
dark,"חשוך, כהה"
dash,"לזנק, למהר; זינוק, ריצה מהירה"
date,"תאריך; פגישה, דייט"
daylight,אור יום
daytime,שעות היום
dazzle,לסנוור
dazzling,"מסנוור, מהמם"
dead,מת
deadly,קטלני
deaf,חירש
deafen,"להחריש אזניים, להרעיש מאוד"
deal,"עסקה, ""דיל""; לטפל ב-; להתמודד עם"
death,מוות
debate,לדון; להתווכח; דיון; ויכוח
debt,חוב
decade,עשבֿר
decadent,"מתנוון, מנוון, דקדנטי"
decay,"להירקב; ריקבון; להתפורר, להתנוון, לדעוך"
deceit,"רמאות, הונאה"
deceive,"לרמות, להונות"
decency,"הגינות, צניעות"
decent,"הולם, נכון; הגון, צנוע, מכובד"
deception,"רמאות, הונאה; הטעיה"
deceptive,מטעה
decide,להחליט; להכריע
decipher,לפענח
decision,החלטה
decisive,"מכריע; פסקני, החלטי"
declaration,"הצהרה, הכרזה"
declare,"להצהיר, להכריז"
decline,"לסרב, לדחות; לרדת, לפחבֿת, להידרדר; ירידה, שקיעה,התדרדרות"
decode,לפענח
decompose,להתפרק; להירקב
decorate,לקשט
decoration,"קישוט, דקורציה"
decorative,"מעוצב, דקורטיבי"
decrease,"להפחית, לצמצם, להקטין; לקטון; הפחתה, צמצום, ירידה"
dedicate,להקדיש
dedicated,מסור
dedication,הקדשה; מסירות
deduce,להסיק מסקנה
deduct,"לנכות, להפחית"
deduction,"ניכוי, הפחתה; מסקנה, דדוקציה"
deed,מעשה
deep,עמוק
deeply,באופן עמוק; מאוד
defeat,"להביס; תבוסה, הפסד"
defend,להגן
defendant,"נאשם, נתבע"
defense,הגנה
defensive,"מתגונן, הגנתי, דפנסיבי"
defer,"לעכב, לדחות"
deference,יחס כבוד
defiance,"התנגדות, סירוב לציית"
defiant,"מתריס, מתנגד, מתמרד"
define,להגדיר
definite,"מוגדר, מוחלט, ברור"
definition,הגדרה
deformed,מעוות; בעל מום
defuse,לנטרל
defy,"להמרות את פי-, לסרב לציית ל-"
degenerate,"להתנוון, להידרדר"
degradation,השפלה; התבזות
degrade,"להשפיל, לבזות"
degrading,"משפיל, מבזה"
degree,"מעלה (טמפרטורה); דרגה, מידה; תואר (אקדמי)"
delay,"לדחות, לעכב; דחייה, עיכוב"
delegate,"ליפות כוח, להאציל סמכות; נציג, בא כוח"
delegation,"משלחת, נציגות; ייפוי כוח, האצלת סמכויות"
delete,למחוק
deletion,מחיקה
deliberate,"מכוּון; מחושב, שקול; לשקול היטב, לדון בכובד ראש"
delicate,עדין
delicious,טעים מאוד
delight,"שמחה, עונג, הנאה, תענוג"
delighted,"שמח, שבע-רצון"
delinquency,עבריינות
delinquent,עבריין
deliver,"להעביר, למסור"
delivery,משלוח; מסירה
delude,"להשלות, להוליך שולל"
delusion,"אשליה, תעתוע"
demand,"לדרוש, לתבוע; תביעה, דרישה"
demean,"להשפיל הערה: ""demean"" היא מלה פחות חזקה מאשר""degrade""."
demented,מטורף
demolish,להרוס
demonstrate,"להפגין; להציג, להדגים, להוכיח"
demonstration,"הפגנה; הדגמה, הוכחה"
denial,"הכחשה; שלילה, סירוב"
denounce,"להוקיע, לגנות"
dense,סמיך; צפוף
density,צפיפות
dentist,רופא שיניים
deny,"להכחיש; למנוע מ-, לשלול מ-"
depart,"לעזוב, לצאת לדרך"
department,"מחלקה, אגף"
departure,עזיבה
depend,לסמוך על; להיות תלוי ב-
dependence,תלות; אמון
depict,לתאר
deplete,"לדלדל, לרוקן, לכלות"
deplore,"להצטער על, לגנות"
deport,"לגרש, להגלות"
deposit,להפקיד; פיקדון
depress,לדכא
depression,דיכאון; שפל כלכלי
deprive,"למנוע מ-, לשלול מ-"
depth,עומק
deputy,"סגן, ממלא מקום"
derive,"להפיק, לשאוב; לנבוע מ-"
derogatory,"מבזה, פוגע, מזלזל"
descend,לרדת
descendant,צאצא
descent,ירידה
describe,לתאר
description,תיאור
desert,מדבר
desert,לנטוש
deserter,עריק
deserve,להיות ראוי ל-
design,"לתכנן, לעצב; תכנון, עיצוב; תכנית, תרשים"
designate,לייעד; לבחור במישהו כ-
desirable,רצוי
desire,"תשוקה, משאלה; להשתוקק ל-"
desk,שולחן כתיבה
desolate,"שומם, עזוב"
despair,ייאוש; להתייאש
desperate,"מיואש; נואש, חמוּר, מסוכן"
desperation,ייאוש
despise,"לתעב, לבוז"
destination,יעד
destiny,גורל
destroy,"להרוס, להשמיד"
destruction,"השמדה, הרס"
detach,"לנתק, להפריד, לתלוש"
detail,פרט
detect,"להבחין ב-, לגלות"
detection,"גילוי, חשיפה"
detective,בלש
deter,להרתיע
determination,"החלטיות, נחישות"
determine,"לקבוע, להחליט"
determined,"נחוש, החלטי"
deterrent,גורם מרתיע
detest,"לתעב, לסלוד, לשנוא"
detour,לעקוף; מעקף
detract,לגרוע
detrimental,מזיק
devastate,"להרוס, להשחית"
develop,לפתח; להתפתח
development,פיתוח; התפתחות
deviate,"לסטות, לחרוג"
deviation,"סטייה, חריגה"
device,"מכשיר, מתקן, התקן"
devil,"שטן, שד"
devise,"להמציא, לתכנן"
devoid of,"חסר-, נטול-, משולל-"
devote,להקדיש
devoted,"מסור, נאמן"
devotion,"נאמנות, מסירות"
devour,"לטרוף, לזלול"
devout,"אדוק; אמיתי, כן"
diagnose,לאבחן
diagnosis,"אבחנה, דיאגנוזה"
diagonal,אלכסון; אלכסוני
dial,לחייג
dialect,"דיאלקט, ניב"
dialog = dialogue,"דו-שיח, דיאלוג"
diamond,יהלום
diary,יומן
dictate,להכתיב
dictation,הכתבה
dictator,"רודן, דיקטטור"
dictionary,מילון
die,למות
differ,להיות שונה
difference,"שוני, הבדל"
different,שונה
differentiate,"להבדיל, להבחין בין"
difficult,קשה
difficulty,קושי
diffuse,"להפיץ; להתפזר, להתפשט; מפוזר, מתפשט"
digest,לעכל; להתעכל
dignified,מכובד
dignify,לכבד
dignity,"כבוד, הדר"
diligence,"שקדנות, חריצות"
diligent,"חרוץ, שקדן"
dilute,"לדלל, למהול"
dim,עמום; מעומעם
dimension,מימד
diminish,"להפחית, לצמצם, להקטין; לקטון"
dire,"נורא, איום; דחוף, נואש"
direct,"ישיר; לכוון, להנחות"
direction,"כיוון; הוראה, הנחיה"
dirt,"לכלוך, עפר"
dirty,מלוכלך
disadvantage,"חיסרון, נחיתות"
disagree,"לחלוק על, לא להסכים"
disagreement,"חילוקי דעות, אי-הסכמה"
disappear,להיעלם
disappearance,היעלמות
disappoint,לאכזב
disappointment,אכזבה
disapproval,"מורת רוח, אי הסכמה, הסתייגות"
disapprove,"להסתייג, להביע מורת רוח"
disaster,אסון
disastrous,"הרה אסון, הרסני"
discard,"להשליך, להיפטר מ-"
discern,"להבחין ב-, לראות"
discharge,לפלוט; לשחרר
disciple,"חסיד, תלמיד, מעריץ"
discipline,"משמעת; שיטה, דיסציפלינה"
disclose,"לגלות, לחשוף"
disconcert,"להביך, להדאיג, לערער את השלווה"
discord,"אי הסכמה, מחלוקת, ריב"
discount,הנחה (במחיר)
discourage,לרפות את ידי
discover,"לגלות, למצוא"
discovery,"גילוי, תגלית"
discredit,להוציא שם רע ל-
discreet,"דיסקרטי, זהיר"
discrepancy,"אי-התאמה, סתירה"
discriminate,להפלות
discrimination,אפליה
discuss,לדון
discussion,דיון
disdain,לבוז; בוז
disease,מחלה
disenchanted,"מאוכזב מ-, שהתפכח מאשליה"
disgrace,"בושה, חרפה; לבייש"
disguise,להתחפש; להסוות; תחפושת; מסווה
disgust,"לעורר גועל; גועל, תיעוב"
disgusting,מגעיל
disillusionment,התפכחות מאשליה
dislike,לשנוא; שנאה
dismay,"פחד, תדהמה, ייאוש"
dismiss,לפטר; לשחרר
dismissal,פיטורין; דחייה; ביטול
disobey,"להמרות את פי-, לסרב לציית ל-"
disorder,"הפרעה, ליקוי; אי-סדר"
disperse,לפזר; להתפזר
display,"לגלות, להראות, להציג לראווה; תצוגה"
disposal,סילוק
dispose of,"לסלק, להיפטר מ-"
disproportionate,"שאינו ביחס הנכון, לא פרופורציונלי"
dispute,"ויכוח, ריב, סכסוך"
disrupt,"להפריע ל-, לשבש"
dissent,"חילוקי דעות, התנגדות; לחלוק על"
dissolve,"להמיס; לפרק, לפזר"
distance,מרחק
distant,רחוק; מרוחק
distaste,"שאט נפש, סלידה"
distasteful,"לא נעים, דוחה"
distinct,"ברור, ניכר, מובהק; נבדל (מ-)"
distinction,"הבחנה, הבדלה; הבדל"
distinctive,"אופייני, ייחודי"
distinguish,"להבחין, להבדיל"
distort,"לעוות, לעקם; לסלף"
distorted,מעוות; מסולף
distortion,עיוות; סילוף
distract,"להסיח את הדעת, להפריע"
distraction,"הסחת דעת, הפרעה"
distress,"לגרום סבל, לגרום צער; כאב, סבל, צער"
distribute,"לחלק, להפיץ"
distribution,חלוקה; הפצה
district,מחוז
disturb,להפריע
disturbance,הפרעה
disturbed,מופרע
dive,לקפוץ ראש; צלילה
diverse,מגוּון
diversion,הסחה
diversity,"גיוון, מגוון"
divert,"להטות, להפנות"
divide,לחלק; להתחלק; להפריד
divine,אלוהי; נפלא
division,חלוקה
dizziness,סחרחורת
docile,"צייתן, נוח"
document,לתעד; מסמך
documentation,תיעוד
domain,תחום
domestic,"משפחתי, ביתי; מקומי, פנימי"
domesticate,לביית
dominant,"שולט, דומיננטי"
dominate,לשלוט
dominion,"שלטון, שליטה; ממלכה"
donate,לתרום
donation,תרומה
donor,תורם
dormant,"רדום, לא פעיל"
dosage,"מינון, מנה"
dose,מנה
double,להכפיל; כפול
doubt,ספק; להטיל ספק
doubtful,מוטל בספק; ספקני
doubtless,ללא ספק
down,למטה
downcast,מדוכא
downfall,"נפילה, מפלה"
dozen,"תריסר, שניים-עשר; עשרות"
drag,"למשוך, לגרור, לסחוב"
drastic,"דרסטי, קיצוני"
draw,"לצייר, לסרטט; למשוך, לגרור"
drawback,"מגרעת, חיסרון"
dread,לפחוד מאוד
dreadful,"איום, נורא, מחריד"
dream,לחלום; חלום
dreary,"מדכא, משעמם, קודר"
drift,להיסחף
drip,"לטפטף, לנטוף"
drive,לנהוג; נסיעה
drop,ליפול; להפיל; טיפה
drown,"לטבוע; להטביע הערה: * בשונה מהמילה לטבוע, drown תמידפירושו ""לטבוע למוות""."
drug,"סם, תרופה; לסמם"
drunk,"שתוי, שיכור"
dry,לייבש; יבש
due,"מגיע, חל (תשלומו); ראוי, הולם"
dull,משעמם; קהה; עמום
dumb,אילם; טיפש
duplicate,"להעתיק, לשכפל"
durable,"יציב, בר-קיימא, עמיד"
duration,משך זמן
duty,חובה
dwell,להתגורר
dwell on,להרבות להרהר ב-
dynamic,"נמרץ, פעיל, דינאמי"
eager,"להוט, משתוקק"
earlier,יותר מוקדם; קודם לכן
early,מוקדם
earn,"להרוויח, להשׂתכר; להיות זכאי"
earnest,רציני
earnestly,ברצינות
earth,אדמה; כדור הארץ
ease,"נוחות, שלווה; להקל"
easy,קל
economic,כלכלי
economical,חסכוני
economize,"לחסוך, לצמצם הוצאות"
economy,כלכלה
edge,"להב, חוד; קצה"
edible,אכיל
edit,לערוך
edition,מהדורה
educate,לחנך
education,חינוך
effect,"השפעה, תוצאה, אפקט"
effective,"יעיל, אפקטיבי"
efficiency,יעילות
efficient,יעיל
effort,מאמץ
eject,"לפלוט; לסלק, לגרש"
elaborate,"לפרט; משוכלל, מורכב"
elated,חש התרוממות רוח
elder,מבוגר יותר
elderly,קשיש
elect,לבחור
election,בחירות
element,"יסוד, אלמנט"
elementary,"יסודי, בסיסי, אלמנטרי"
elevate,"להעלות, להרים, להגביה"
elevation,"העלאה, הגבהה"
elevator,מעלית
eliminate,"לחסל; לסלק, להוציא"
eloquent,"רהוט, משכנע, בעל כושר ביטוי"
elsewhere,במקום אחר
elude,להתחמק
elusive,חמקמק
embargo,"אמברגו, חרם, הסגר"
embark,לעלות לאונייה; להתחיל ב-
embarrass,להביך
embarrassment,מבוכה
embassy,שגרירות
embellish,"לייצּבֿת, לקשט"
emblem,"סמל, סימן"
embody,"לגלם, להמחיש"
embrace,"חיבוק; לחבק הערה: בעברית לא ""מחבקים"" אידיאולוגיה, אלאמאמצים אותה."
emerge,"להופיע, להגיח, לבצבץ"
emergence,"הופעה, יציאה, עלייה"
emergency,חירום
emigrant,"מהגר, יורד"
emigrate,להגר מ-
eminent,"דגול, רם מעלה, מפורסם"
eminently,"באופן בולט, מאוד"
emission,פליטה
emit,לפלוט
emotion,רגש
emotional,"רגשי; רגשני, אמוציונאלי"
emphasis,הדגשה; דגש
emphasize,להדגיש
empire,אימפריה
employ,להעסיק
employment,תעסוקה
empty,לרוקן; ריק
emulate,לנסות לחקות/לעלות על
enable,לאפשר
enchant,"להקסים, לכשף"
enchanted,"קסום, מכושף"
encircle,"לכתר, להקיף"
enclose,"להקיף, לסגור מסביב; לצרף"
encompass,"להקיף, לכתר; להקיף, לכלול"
encounter,"לפגוש, להיתקל ב-; היתקלות, פגישה מקרית"
encourage,לעודד
endanger,לסכן
endeavor,מאמץ; להשתדל
endorse,"לאשר, לתמוך ב-"
endow,"לתרום, להעניק"
endowed with,"להיות מחונן ב-, להיות בעל תכונה מסוימת"
endurance,"כוח סבל, סיבולת"
endure,"לסבול, לשאת; להימשך"
enduring,"מתמיד, ניצחי"
enemy,אויב
energetic,נמרץ
energy,"אנרגיה, מרץ"
enforce,לכפות; לאכוף
engage,להעסיק; להתעסק ב-
engagement,התחייבות; אירוסין
engine,מנוע; קטר
engineer,מהנדס
enhance,"להגביר, להגדיל, להוסיף ל-"
enigma,"חידה, תעלומה, אניגמה"
enigmatic,"אניגמטי, מסתורי"
enjoy,ליהנות
enjoyable,מהנה
enlarge,"להרחיב, להגדיל"
enlargement,"הרחבה, הגדלה"
enlighten,"לבאר, להסביר, להאיר את עיני"
enlightened,נאור
enlightenment,"השכלה, הארה"
enlist,להתגייס; לגייס
enormous,"עצום, ענק"
enormously,"במידה עצומה, עד מאוד"
enough,"די, מספיק"
enraged,"מרוגז, נזעם"
enrich,להעשיר
enroll,"לרשום, להכניס לרשימה; להירשם"
enslave,לשעבד
ensure,"להבטיח, לוודא"
enter,להיכנס
enterprise,"יוזמה, מיזם"
entertain,לבדר; לארח
entertainment,בידור; אירוח
enthusiasm,התלהבות
enthusiastic,נלהב
entice,לפתות
entire,"כולו, מלא, שלם, גמור"
entirely,"לגמרי, לחלוטין"
entitled,"זכאי, רשאי"
entrance,כניסה
entrust,להפקיד בידי
entry,כניסה; פריט ברשימה (למשל: ערך במילון)
enunciate,"לבטא, להשמיע (באופן ברור)"
envelop,"לעטוף, לאפוף"
envelope,מעטפה
envious,מקנא
environment,סביבה
environmental,סביבתי
envision,"לדמות, לדמיין"
envy,"קנאה, לקנא"
epidemic,מגיפה
equal,שווה
equality,שוויון
equate,להשוות; לראות כשווים
equation,משוואה; השוואה
equilibrium,שיווי משקל
equip,לצייד
equipment,ציוד
equivalent,"שווה ערך, שקול"
era,"עידן, תקופה"
eradicate,"להשמיד, לבער, לחסל"
erase,למחוק
erect,"להקים, לבנות; זקוף"
erode,"לסחוף, לשחוק, לאכל"
erosion,סחף; כרסום; שחיקה
err,"לשגות, לטעות"
erratic,לא יציב; לא סדיר
erroneous,"שגוי, מוטעה"
error,"שגיאה, טעות"
erupt,"להתפרץ, לפרוץ"
escalate,"להסלים, להחריף"
escape,"להימלט, לברוח; בריחה"
escort,"ללוות; ליווי, משמר"
especially,במיוחד
essence,"תמצית, מהות, עיקר"
essential,"חיוני, הכרחי"
establish,"לייסד, להקים"
establishment,"ייסוד, הקמה; עסק, בית עסק"
estate,אחוזה
esteem,"להעריך, לכבד; הערכה, כבוד"
estimate,"להעריך, לאמוד"
estimate,"הערכה, אומדן"
estrange,"להרחיק, לנכר"
eternal,נצחי
eternity,"נצח, זמן אינסופי"
evacuate,לפנות
evacuation,פינוי
evade,"להתחמק, להשתמט"
evaluate,"להעריך, לאמוד"
evaporate,"לאדות; להתאדות, להתנדף"
evasive,"מתחמק, חמקמק"
event,"אירוע, מאורע"
evict,"לגרש, לפנות"
eviction,"גירוש, פינוי"
evidence,עדות; ראָייה
evident,"ברור, גלוי, בולט"
evil,"מרושע, רע"
evoke,"לעורר, להעלות"
evolution,התפתחות; אבולוציה
evolve,להתפתח
exact,מדויק
exactly,בדיוק
exaggerate,להגזים
exam,בחינה
examination,"בחינה, בדיקה, חקירה"
examine,"לבחון, לבדוק"
example,דוגמה
exasperate,להרגיז
excavate,לחפור (במטרה לגלות עתיקות)
exceed,"לעבור, לעלות על-, לחרוג מ-"
excellent,מצוין
exception,"יוצא מן הכלל, חריג"
excess,"יותר מדי, עודף"
excessive,"מוגזם, מופרז, יותר מדי"
exchange,"פועל: להחליף (משהו במשהו); החלפה, חילופין"
excite,"לרגש, להלהיב"
excitement,התרגשות
exclaim,"לקרוא, לצעוק"
exclude,"למנוע, לשלול, לא לכלול, לסלק"
exclusion,"הרחקה, מניעה, שלילה, אי הכללה"
exclusive,"בלעדי, אקסקלוסיבי"
excursion,טיול
excuse,לסלוח; להצדיק; לפטור מ-
excuse,תירוץ
execute,לבצע; להוציא להורג
execution,ביצוע; הוצאה להורג
executive,מנהלי
exemplify,להדגים; לשמש דוגמה
exempt,לפטור (מישהו) מ- (משהו); צּטוּר מ-
exercise,"תרגיל; תרגול, אימון; הפעלה, שימוש; להפעיל, לממש; להתאמן"
exert,להפעיל
exhaust,"להתיש, לכלות; למצות"
exhausting,מתיש
exhaustion,תשישות
exhaustive,"ממצה, מקיף, יסודי"
exhibit,"להציג; להראות, להפגין; מוצג"
exhibition,"תערוכה, תצוגה, הצגה"
exhilarate,"לשמח, לרומם רוחו; להמריץ, לרענן"
exile,"להגלות, לגרש; גלות"
exist,"להתקיים, להיות"
existence,"קיום, מציאות"
exit,יציאה; לצאת
expand,"להרחיב; להתרחב, להתפשט"
expansion,"הרחבה; התרחבות, התפשטות"
expect,לצפות
expectancy,"ציפיה, תוחלת (חיים)"
expectation,"ציפייה, תקווה"
expedition,"משלחת, מסע"
expel,"לגרש, להרחיק"
expense,הוצאה
expensive,יקר
experience,"לחוות, להתנסות ב-; ניסיון, חוויה"
experiment,ניסוי; לערוך ניסוי
experimental,ניסיוני
expert,מומחה
expertise,מומחיות
explain,להסביר
explanation,הסבר
explicit,"מפורש, ברור"
explode,להתפוצץ; לפוצץ
exploit,לנצל
explore,"לחקור, לסייר; לבחון"
explosion,"התפוצצות, פיצוץ"
explosive,"חומר נפץ; נפיץ, טעון חומר נפץ"
export,לייצא; ייצוא
expose,לחשוף
exposure,חשיפה
express,"להביע, לבטא; מהיר, אקספרס; מפורש"
expression,ביטוי; הבעה
expressive,"מלא הבעה, מביע"
expulsion,"גירוש, הרחקה"
extend,"להאריך, להרחיב; למתוח, לפרושׂ; להשתרע"
extension,הארכה; הרחבה
extensive,"מקיף, נרחב"
extent,"היקף, גודל; שיעור, מידה"
external,חיצוני
extinct,"נכחד, לא קיים"
extinguish,לכבות
extort,לסחוט (כסף)
extra,תוספת; נוסף
extract,"לחלץ; לסחוט, למצות"
extraneous,"שאינו שייך, זר, מבחוץ"
extraordinary,"בלתי רגיל, יוצא מן הכלל"
extravagant,"פזרני, בזבזני, מופרז"
extreme,"קיצוני; רב, עצום"
fable,משל; אגדה
fabricate,"לבדות, ""לפברק"", להמציא"
fabulous,"נפלא, נהדר"
face,פנים; לפנות כלפי; להיות מול; לעמוד בפני
facilitate,"להקל על, לסייע ל-, לקדם"
facilities,"מתקנים ושירותים; אמצעים, כלים"
fact,עובדה
factor,גורם
factory,"מפעל, בית חרושת"
faculty,"יכולת, כושר; פקולטה; סגל מורים"
fade,"לדהות, להימוג, לדעוך"
fail,להיכשל
failure,כישלון; תקלה
faint,"להתעלף; חלש, קלוש, עמום"
fair,יריד; הוגן
faith,אמונה; אמון
faithful,נאמן
fake,לזייף; זיוף; מזויף
fallacy,סברה מוטעית; טיעון מופרך
FALSE,"שקרי, מזוייף"
falsify,לזייף
fame,"תהילה, פרסום"
familiar,"ידוע, מוכּר; בקי ב-"
famine,רעב
famous,מפורסם
fan,"אוהד, מעריץ; מאוורר"
fanatic,"קנאי, פנטי"
fanciful,"דמיוני, מוזר ומופלא"
fancy,"לדמיין, לדמות; להתחשק לו; מהודר"
fantasize,לפנטז
fantastic,"פנטסטי, נהדר; דמיוני"
fantasy,פנטזיה
far,רחוק
far-fetched,"דחוּק, לא סביר, לא הגיוני"
fare,דמי נסיעה
farther = further,"יותר רחוק, הלאה"
fascinate,"לרתק, להקסים"
fascination,"קסם, משיכה"
fashion,"לעצב; אופנה; אופן, דרך, צורה"
fashionable,אופנתי
fast,מהיר; במהירות; לצום; צום
fasten,"להדק, לסגור היטב"
fastidious,"בררן, אנין, איסטיניס"
fatal,גורלי; קטלני
fate,גורל
fateful,"הרה גורל, גורלי"
fatigue,עייפות
fault,"פגם, ליקוי, מגרעת; אשמה"
faulty,"פגום, לקוי, לא תקין, מקולקל"
favor,"להעדיף, להפלות לטובה; טובה"
favorable,"חיובי, אוהד"
favorite,"מועדף, אהוב, פייבוריט"
fear,לפחד; פחד
feasible,"בר-ביצוע, ישים, אפשרי"
feast,"משתה, סעודה; לסעוד"
feat,"מעשה גבורה, מבצע"
feature,"מאפיין, סממן בולט"
fee,שכר טרחה; אגרה; תשלום; דמי חברות
feign,"להעמיד פנים, להתחזות; לבדות"
fellow,בחור; עמית
fellowship,חברות; אחווה; אגודה
female,נקבה
feminine,נשי
fend,להדוף
ferocious,"אכזרי, פראי"
fertile,פורה
fertilize,לדשן
fervent,"נלהב, לוהט, עז"
fiction,"המצאה, בדיה, פיקציה; סיפורת"
fictional,"בדוי, דמיוני"
fictitious,"בדוי, דמיוני, פיקטיבי"
fierce,"פראי, אכזרי, עז"
fiery,"לוהט, יוקד"
figure,"סיפרה; מספר, סכום; דמות"
file,תיק; קובץ; לתייק
filth,"זוהמה, טינופת"
filthy,"מזוהם, מטונף"
final,"סופי, אחרון"
finance,"לממן; מימון, כספים"
financial,"כספי, פיננסי"
fine,לקנוס; קנס; מעודן; בסדר גמור
fire,לירות; אש; לפטר
firm,"חברה, פירמה; חזק; נוקשה; יציב; תקיף"
